opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,engage_quarter,year,quarter,manager,regional_office,sector,year_established,revenue,employees,office_location,subsidiary_of,series,sales_price,profit_margin,close_value_k,days_to_close,regional_office_initial,manager_initials,sales_agent_initials,engage_date_formatted,new_opportunity_id,engage_week_number,close_week_number,Central_Cat,East_Cat,West_Cat,Client_Region
1C1I7A6R,Moses Frase,GTXPlusBasic,Cancity,Won,2016-10-20,2017-03-01,1054.0,2016Q4,2017.0,2017Q1,Dustin Brinkmann,Central,retail,2001.0,718.62,2448.0,United States,,GTX,1096,-0.038321167883211715,1.054,132.0,C,DB,MF,20161020,C/DB/MF1,42,9,primary,support,support,Central Core
Z063OYW0,Darcel Schlecht,GTXPro,Isdom,Won,2016-10-25,2017-03-11,4514.0,2016Q4,2017.0,2017Q1,Melvin Marxen,Central,medical,2002.0,3178.24,4540.0,United States,,GTX,4821,-0.06367973449491804,4.514,137.0,C,MM,DS,20161025,C/MM/DS1,43,10,primary,support,support,Central Core
EC4QE1BX,Darcel Schlecht,MGSpecial,Cancity,Won,2016-10-25,2017-03-07,50.0,2016Q4,2017.0,2017Q1,Melvin Marxen,Central,retail,2001.0,718.62,2448.0,United States,,MG,55,-0.09090909090909094,0.05,133.0,C,MM,DS,20161025,C/MM/DS2,43,10,primary,support,support,Central Core
MV1LWRNH,Moses Frase,GTXBasic,Codehow,Won,2016-10-25,2017-03-09,588.0,2016Q4,2017.0,2017Q1,Dustin Brinkmann,Central,software,1998.0,2714.9,2641.0,United States,Acme Corporation,GTX,550,0.06909090909090909,0.588,135.0,C,DB,MF,20161025,C/DB/MF2,43,10,primary,support,support,Central Core
PE84CX4O,Zane Levy,GTXBasic,Hatfan,Won,2016-10-25,2017-03-02,517.0,2016Q4,2017.0,2017Q1,Summer Sewald,West,services,1982.0,792.46,1299.0,United States,,GTX,550,-0.06000000000000005,0.517,128.0,W,SS,ZL,20161025,W/SS/ZL1,43,9,support,support,primary,West Core
ZNBS69V1,Anna Snelling,MGSpecial,Ron-tech,Won,2016-10-29,2017-03-01,49.0,2016Q4,2017.0,2017Q1,Dustin Brinkmann,Central,medical,1992.0,3922.42,6837.0,United States,,MG,55,-0.10909090909090913,0.049,123.0,C,DB,AS,20161029,C/DB/AS1,43,9,primary,support,support,Central Core
9ME3374G,Vicki Laflamme,MGSpecial,J-Texon,Won,2016-10-30,2017-03-02,57.0,2016Q4,2017.0,2017Q1,Celia Rouche,West,retail,1989.0,1388.67,3583.0,United States,,MG,55,0.036363636363636376,0.057,123.0,W,CR,VL,20161030,W/CR/VL1,43,9,support,support,primary,West Core
7GN8Q4LL,Markita Hansen,GTXBasic,Cheers,Won,2016-11-01,2017-03-07,601.0,2016Q4,2017.0,2017Q1,Celia Rouche,West,entertainment,1993.0,4269.9,6472.0,United States,Massive Dynamic,GTX,550,0.09272727272727277,0.601,126.0,W,CR,MH,20161101,W/CR/MH1,44,10,support,support,primary,West Core
OLK9LKZB,Niesha Huffines,GTXPlusBasic,Zumgoity,Won,2016-11-01,2017-03-03,1026.0,2016Q4,2017.0,2017Q1,Melvin Marxen,Central,medical,1984.0,441.08,1210.0,United States,,GTX,1096,-0.06386861313868608,1.026,122.0,C,MM,NH,20161101,C/MM/NH1,44,9,primary,support,support,Central Core
HAXMC4IX,James Ascencio,MGAdvanced,,Engaging,2016-11-03,2017-12-31,,2016Q4,,,Summer Sewald,West,,,,,,,MG,3393,,,423.0,W,SS,JA,20161103,W/SS/JA1,44,52,,,,Other
