opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,year,quarter,manager,regional_office,sector,year_established,revenue,employees,office_location,subsidiary_of,series,sales_price,profit_margin,close_value_k,sales_cycle,quarter_year,age_in_days
1C1I7A6R,Moses Frase,GTXPlusBasic,Cancity,Won,10/20/2016,3/1/2017,1054,2017,2017Q1,Dustin Brinkmann,Central,retail,2001,718.62,2448,United States,,GTX,1096,-0.038321168,1.054,132,2017Q1,
Z063OYW0,Darcel Schlecht,GTXPro,Isdom,Won,10/25/2016,3/11/2017,4514,2017,2017Q1,Melvin Marxen,Central,medical,2002,3178.24,4540,United States,,GTX,4821,-0.063679734,4.514,137,2017Q1,
EC4QE1BX,Darcel Schlecht,MGSpecial,Cancity,Won,10/25/2016,3/7/2017,50,2017,2017Q1,Melvin Marxen,Central,retail,2001,718.62,2448,United States,,MG,55,-0.090909091,0.05,133,2017Q1,
MV1LWRNH,Moses Frase,GTXBasic,Codehow,Won,10/25/2016,3/9/2017,588,2017,2017Q1,Dustin Brinkmann,Central,software,1998,2714.9,2641,United States,Acme Corporation,GTX,550,0.069090909,0.588,135,2017Q1,
PE84CX4O,Zane Levy,GTXBasic,Hatfan,Won,10/25/2016,3/2/2017,517,2017,2017Q1,Summer Sewald,West,services,1982,792.46,1299,United States,,GTX,550,-0.06,0.517,128,2017Q1,
ZNBS69V1,Anna Snelling,MGSpecial,Ron-tech,Won,10/29/2016,3/1/2017,49,2017,2017Q1,Dustin Brinkmann,Central,medical,1992,3922.42,6837,United States,,MG,55,-0.109090909,0.049,123,2017Q1,
9ME3374G,Vicki Laflamme,MGSpecial,J-Texon,Won,10/30/2016,3/2/2017,57,2017,2017Q1,Celia Rouche,West,retail,1989,1388.67,3583,United States,,MG,55,0.036363636,0.057,123,2017Q1,
7GN8Q4LL,Markita Hansen,GTXBasic,Cheers,Won,11/1/2016,3/7/2017,601,2017,2017Q1,Celia Rouche,West,entertainment,1993,4269.9,6472,United States,Massive Dynamic,GTX,550,0.092727273,0.601,126,2017Q1,
OLK9LKZB,Niesha Huffines,GTXPlusBasic,Zumgoity,Won,11/1/2016,3/3/2017,1026,2017,2017Q1,Melvin Marxen,Central,medical,1984,441.08,1210,United States,,GTX,1096,-0.063868613,1.026,122,2017Q1,
HAXMC4IX,James Ascencio,MGAdvanced,,Engaging,11/3/2016,,,,,Summer Sewald,West,,,,,,,MG,3393,,,,,423
NL3JZH1Z,Anna Snelling,MGSpecial,Bioholding,Won,11/4/2016,3/10/2017,53,2017,2017Q1,Dustin Brinkmann,Central,medical,2012,587.34,1356,Philipines,,MG,55,-0.036363636,0.053,126,2017Q1,
KWVA7VR1,Gladys Colclough,GTXPro,Genco Pura Olive Oil Company,Lost,11/4/2016,3/18/2017,0,2017,2017Q1,Melvin Marxen,Central,retail,2007,894.33,1635,Italy,,GTX,4821,-1,0,134,2017Q1,
S8DX3XOU,James Ascencio,GTXPlusPro,Sunnamplex,Won,11/4/2016,3/10/2017,5169,2017,2017Q1,Summer Sewald,West,marketing,2008,894.37,1593,Poland,,GTX,5482,-0.05709595,5.169,126,2017Q1,
